SiteID,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8
Site1,0,6,6,0,5,0,0,0
Site6,0,0,4,0,3,1,0,0
Site11,0,0,0,0,0,0,0,0
Site24,0,0,0,0,0,0,0,0
Site27,0,0,0,0,0,0,0,0
Site41,0,0,0,0,0,0,0,0
Site59,0,1,1,0,1,1,1,1
Site63,0,0,0,0,0,0,1,0
Site72A,0,4,0,4,6,3,1,0
Site72B,0,0,0,0,0,0,0,0
Site84,0,4,4,0,4,0,0,0
Site86,5,7,5,4,4,0,0,0
Site111,0,0,0,0,3,0,0,0
Site114,0,0,0,4,0,0,0,0
Site118,0,0,0,0,0,0,0,0
Site131,0,0,0,0,0,0,0,0
Site132,0,0,1,2,0,0,0,0
Site135,0,0,0,0,0,0,0,0
Site139,0,0,0,0,0,0,0,0
Site141,0,0,0,0,0,0,0,0
Site150,0,0,0,0,0,0,0,0
Site153,0,0,0,0,0,0,0,0
Site182,0,0,0,0,0,0,1,0
Site184,0,0,0,0,0,0,0,0
Site186,4,5,6,6,2,0,2,0
Site191,0,0,0,0,0,2,0,0
Site195,0,0,0,0,0,0,0,0
Site197,0,0,1,1,0,1,1,0
Site231A,0,0,0,0,0,0,0,0
Site231B,0,0,0,0,0,0,0,0
Site238,0,3,0,0,0,1,0,0
Site241A,0,0,0,0,0,0,0,0
Site241B,1,0,1,0,2,0,1,0
Site256,0,0,0,0,0,0,0,0
Site314,0,0,0,0,0,0,0,0
Site323,0,1,1,2,6,0,0,2
Site325,0,0,0,0,0,0,0,0
Site327,0,0,0,0,0,0,0,0
Site330,0,0,0,0,0,0,0,0
Site376,0,0,0,0,0,0,0,0
Site379,0,1,1,1,1,1,1,1
Site384,0,0,0,0,0,0,0,0
Site385,0,0,0,0,0,0,0,0
Site400,0,1,4,9,0,0,0,1
Site404,0,0,0,0,0,0,0,0
Site405,0,0,0,0,0,0,0,0
Site408,0,0,0,0,0,0,0,0
Site417,0,0,0,0,0,1,0,0
Site421,0,0,0,0,0,0,0,0
Site439,0,0,0,0,2,3,1,0
Site453,0,0,2,0,0,2,0,0
Site463,1,3,3,4,1,0,1,0
Site476,0,0,0,0,0,0,0,0
Site477,0,0,0,0,0,0,0,0
Site492,0,0,0,0,0,1,0,0
Site512,0,0,0,0,0,0,0,0
Site520,0,0,0,0,0,0,0,0
Site521,0,0,0,0,0,0,0,0
Site532,0,2,0,0,1,1,1,0
Site540,0,0,0,0,0,0,0,0
Site548,0,0,0,0,0,0,0,0
Site552,0,0,0,0,0,0,2,0
Site554,0,0,0,0,0,0,0,0
Site569,0,0,0,0,0,0,0,0
Site590,3,7,8,8,12,7,1,0
Site595,0,0,0,0,0,0,0,0
Site598,0,0,0,0,0,0,0,0
Site603,2,1,0,2,1,4,2,1
Site615,0,0,0,0,0,0,0,1
Site637,0,0,0,0,0,0,0,0
