#Session	ID	Occasion	Detector
A1	8479	1	1
A1	9329	1	1
A1	9333	1	1
A1	9332	1	1
A1	9330	1	1
A1	8482	1	1
A1	8383	1	59
A1	9374	1	72A
A1	8361	1	72A
A1	9334	1	72A
A1	8389	1	72A
A1	9333	1	1
A1	8482	1	1
A1	9330	1	1
A1	9332	1	1
A1	8479	1	1
A1	9329	1	1
A1	8389	1	6
A1	8361	1	6
A1	9334	1	6
A1	8383	1	59
A1	9229	1	84
A1	9216	1	84
A1	9250	1	84
A1	9217	1	84
A1	8383	1	72A
A1	9372	1	72A
A1	8237	1	72A
A1	9334	1	72A
A1	9250	1	84
A1	9229	1	84
A1	9217	1	84
A1	9216	1	84
A1	8479	1	1
A1	9329	1	1
A1	9333	1	1
A1	9330	1	1
A1	9332	1	1
A1	9389	1	6
A1	9361	1	6
A1	9374	1	6
A1	9372	1	59
A1	9334	1	72A
A1	8383	1	72A
A1	9243	1	72A
A1	9216	1	114
A1	9217	1	114
A1	9229	1	114
A1	9250	1	114
A1	8353	1	132
A1	9372	1	59
A1	9374	1	72A
A1	8383	1	72A
A1	9334	1	72A
A1	9217	1	84
A1	9216	1	84
A1	9250	1	84
A1	9229	1	84
A1	9372	2	59
A1	8379	2	63
A1	9372	2	59
A2	9250	2	186
A2	9217	2	186
A2	9216	2	186
A2	9229	2	186
A2	9250	2	186
A2	9217	2	186
A2	9216	2	186
A2	9229	2	186
A2	9241	2	186
A2	9334	2	241B
A1	8484	2	86
A1	8237	2	86
A1	8352	2	86
A1	8236	2	86
A1	9372	2	86
A2	9250	2	186
A2	9217	2	186
A2	9216	2	186
A2	9229	2	186
A2	8483	2	186
A2	8484	2	186
A2	10711	2	238
A2	8354	2	238
A2	8359	2	238
A1	9372	2	86
A1	9243	2	86
A1	8352	2	86
A1	10715	2	86
A1	10718	2	86
A1	8236	2	86
A1	8237	2	86
A2	9216	2	186
A2	9229	2	186
A2	9250	2	186
A2	8484	2	186
A2	9217	2	186
A2	8483	2	186
A2	8374	2	197
A2	9334	2	323
A1	10715	2	86
A1	10718	2	86
A1	8352	2	86
A1	9372	2	86
A1	8236	2	86
A2	9217	2	186
A2	9241	2	186
A2	8374	2	197
A2	8237	2	323
A2	9334	2	323
A1	8352	3	86
A1	10715	3	86
A1	9372	3	86
A1	10718	3	86
A2	8237	3	323
A2	9334	3	323
A2	8383	3	323
A2	9243	3	323
A1	8352	3	86
A1	10715	3	86
A1	9372	3	86
A1	10718	3	86
A2	9250	3	182
A2	9241	3	186
A2	8484	3	186
A2	8374	3	197
A2	8359	3	238
A2	8374	3	197
A2	9329	3	197
A2	9334	3	241B
A2	8237	3	323
A2	8361	3	323
A3	9241	3	379
A3	8352	3	463
A3	9241	3	379
A3	8352	3	463
A3	10718	3	463
A3	9241	3	379
A3	9242	3	453
A3	9230	3	453
A3	8352	3	463
A3	10718	3	463
A3	9241	4	379
A3	8352	4	463
A3	10718	4	463
A3	9373	4	463
A3	9241	4	379
A3	9374	4	439
A3	9366	4	439
A3	8352	4	463
A3	9241	4	379
A3	9204	4	417
A3	9366	4	439
A3	9374	4	439
A3	8380	4	439
A3	9230	4	453
A3	8237	4	453
A3	9241	4	379
A3	9374	4	439
A4	8236	4	532
A4	9225	4	590
A4	8353	4	590
A4	9230	4	603
A4	9248	4	603
A3	8383	4	400
A4	8374	4	590
A4	9225	4	590
A4	8353	4	590
A4	8363	4	590
A4	9330	4	590
A4	10740	4	590
A4	9248	4	603
A3	8383	5	400
A3	8242	5	400
A3	8237	5	400
A4	9225	5	590
A4	10740	5	590
A4	8363	5	590
A4	8374	5	590
A4	8353	5	590
A4	9330	5	590
A4	10716	5	590
A4	9230	5	603
A4	9248	5	603
A3	8242	5	400
A3	8383	5	400
A3	9243	5	400
A3	8351	5	400
A3	8237	5	400
A4	8363	5	590
A4	9248	5	603
A4	9230	5	603
A4	10716	5	590
A4	8482	5	590
A4	9330	5	590
A4	8374	5	590
A4	9225	5	590
A4	8353	5	590
A4	10740	5	590
A4	9250	5	492
A4	8236	5	532
A4	10716	5	590
A4	8363	5	590
A4	10740	5	590
A4	9330	5	590
A4	8482	5	590
A4	8374	5	590
A4	8353	5	590
A4	9329	5	590
A4	8479	5	590
A4	9230	5	603
A4	9271	5	552
A4	8374	5	590
A4	8482	5	590
A4	8363	5	590
A4	9225	5	590
A4	10740	5	590
A4	8353	5	590
A4	9230	5	603
A4	9248	5	603
A3	8237	5	400
A4	8374	5	590
A4	9230	5	603
A4	9248	5	603
A4	9230	5	603
A4	9219	5	615
