#Session	ID	Occasion	Camera
A1	8479	1	1
A1	9329	1	1
A1	9333	1	1
A1	9332	1	1
A1	9330	1	1
A1	8482	1	1
A1	8383	1	59
A1	9374	1	72A
A1	8361	1	72A
A1	9334	1	72A
A1	8389	1	72A
A1	9333	1	1
A1	8482	1	1
A1	9330	1	1
A1	9332	1	1
A1	8479	1	1
A1	9329	1	1
A1	8389	1	6
A1	8361	1	6
A1	9334	1	6
A1	8383	1	59
A1	9229	1	84
A1	9216	1	84
A1	9250	1	84
A1	9217	1	84
A1	8383	1	72A
A1	9372	1	72A
A1	8237	1	72A
A1	9334	1	72A
A1	9250	1	84
A1	9229	1	84
A1	9217	1	84
A1	9216	1	84
A1	8479	1	1
A1	9329	1	1
A1	9333	1	1
A1	9330	1	1
A1	9332	1	1
A1	9389	1	6
A1	9361	1	6
A1	9374	1	6
A1	9372	1	59
A1	9334	1	72A
A1	8383	1	72A
A1	9243	1	72A
A1	9216	1	114
A1	9217	1	114
A1	9229	1	114
A1	9250	1	114
A1	8353	1	132
A1	9372	1	59
A1	9374	1	72A
A1	8383	1	72A
A1	9334	1	72A
A1	9217	1	84
A1	9216	1	84
A1	9250	1	84
A1	9229	1	84
A1	9372	1	59
A1	8379	1	63
A1	9372	1	59
A2	9250	1	186
A2	9217	1	186
A2	9216	1	186
A2	9229	1	186
A2	9250	1	186
A2	9217	1	186
A2	9216	1	186
A2	9229	1	186
A2	9241	1	186
A2	9334	1	241B
A1	8484	1	86
A1	8237	1	86
A1	8352	1	86
A1	8236	1	86
A1	9372	1	86
A2	9250	1	186
A2	9217	1	186
A2	9216	1	186
A2	9229	1	186
A2	8483	1	186
A2	8484	1	186
A2	10711	1	238
A2	8354	1	238
A2	8359	1	238
A1	9372	2	86
A1	9243	2	86
A1	8352	2	86
A1	10715	2	86
A1	10718	2	86
A1	8236	2	86
A1	8237	2	86
A2	9216	2	186
A2	9229	2	186
A2	9250	2	186
A2	8484	2	186
A2	9217	2	186
A2	8483	2	186
A2	8374	2	197
A2	9334	2	323
A1	10715	2	86
A1	10718	2	86
A1	8352	2	86
A1	9372	2	86
A1	8236	2	86
A2	9217	2	186
A2	9241	2	186
A2	8374	2	197
A2	8237	2	323
A2	9334	2	323
A1	8352	2	86
A1	10715	2	86
A1	9372	2	86
A1	10718	2	86
A2	8237	2	323
A2	9334	2	323
A2	8383	2	323
A2	9243	2	323
A1	8352	2	86
A1	10715	2	86
A1	9372	2	86
A1	10718	2	86
A2	9250	2	182
A2	9241	2	186
A2	8484	2	186
A2	8374	2	197
A2	8359	2	238
A2	8374	2	197
A2	9329	2	197
A2	9334	2	241B
A2	8237	2	323
A2	8361	2	323
A3	9241	2	379
A3	8352	2	463
A3	9241	2	379
A3	8352	2	463
A3	10718	2	463
A3	9241	2	379
A3	9242	2	453
A3	9230	2	453
A3	8352	2	463
A3	10718	2	463
A3	9241	2	379
A3	8352	2	463
A3	10718	2	463
A3	9373	2	463
A3	9241	2	379
A3	9374	2	439
A3	9366	2	439
A3	8352	2	463
A3	9241	3	379
A3	9204	3	417
A3	9366	3	439
A3	9374	3	439
A3	8380	3	439
A3	9230	3	453
A3	8237	3	453
A3	9241	3	379
A3	9374	3	439
A4	8236	3	532
A4	9225	3	590
A4	8353	3	590
A4	9230	3	603
A4	9248	3	603
A3	8383	3	400
A4	8374	3	590
A4	9225	3	590
A4	8353	3	590
A4	8363	3	590
A4	9330	3	590
A4	10740	3	590
A4	9248	3	603
A3	8383	3	400
A3	8242	3	400
A3	8237	3	400
A4	9225	3	590
A4	10740	3	590
A4	8363	3	590
A4	8374	3	590
A4	8353	3	590
A4	9330	3	590
A4	10716	3	590
A4	9230	3	603
A4	9248	3	603
A3	8242	3	400
A3	8383	3	400
A3	9243	3	400
A3	8351	3	400
A3	8237	3	400
A4	8363	3	590
A4	9248	3	603
A4	9230	3	603
A4	10716	3	590
A4	8482	3	590
A4	9330	3	590
A4	8374	3	590
A4	9225	3	590
A4	8353	3	590
A4	10740	3	590
A4	9250	3	492
A4	8236	3	532
A4	10716	3	590
A4	8363	3	590
A4	10740	3	590
A4	9330	3	590
A4	8482	3	590
A4	8374	3	590
A4	8353	3	590
A4	9329	3	590
A4	8479	3	590
A4	9230	3	603
A4	9271	3	552
A4	8374	3	590
A4	8482	3	590
A4	8363	3	590
A4	9225	3	590
A4	10740	3	590
A4	8353	3	590
A4	9230	3	603
A4	9248	3	603
A3	8237	3	400
A4	8374	3	590
A4	9230	3	603
A4	9248	3	603
A4	9230	3	603
A4	9219	3	615
